edition,year,language,category,country_or_chapter,title,url,filename,status,size_bytes,size_mb,scraped_at
Atlas 2016,2016,ENG,Capítulo,Education,Atlas 2016 ENG – Ch.6 Education,https://www.resdal.org/ing/assets/atlas_2016_ing_06.pdf,atlas_2016_ing_06.pdf,200,800956,0.76,2026-06-03T20:08:51.245193Z
Atlas 2016,2016,ENG,Capítulo,Defence-Community,Atlas 2016 ENG – Ch.7 Defence and Community,https://www.resdal.org/ing/assets/atlas_2016_ing_07.pdf,atlas_2016_ing_07.pdf,200,4743459,4.52,2026-06-03T20:08:55.830717Z
Atlas 2016,2016,ENG,Capítulo,The Caribbean,Atlas 2016 ENG – Ch.8 The Caribbean,https://www.resdal.org/ing/assets/atlas_2016_ing_08.pdf,atlas_2016_ing_08.pdf,200,6763633,6.45,2026-06-03T20:09:03.037943Z
Atlas 2016,2016,ENG,Capítulo,"Costa Rica, Haiti, Panama","Atlas 2016 ENG – Ch.9 Costa Rica, Haiti, Panama",https://www.resdal.org/ing/assets/atlas_2016_ing_09.pdf,atlas_2016_ing_09.pdf,200,4779499,4.56,2026-06-03T20:09:08.506048Z
Atlas 2016,2016,ENG,País,Argentina,Atlas 2016 ENG – Argentina,https://www.resdal.org/ing/assets/atlas_2016_ing_10.pdf,atlas_2016_ing_10.pdf,200,1902978,1.81,2026-06-03T20:09:11.051629Z
Atlas 2016,2016,ENG,País,Bolivia,Atlas 2016 ENG – Bolivia,https://www.resdal.org/ing/assets/atlas_2016_ing_11.pdf,atlas_2016_ing_11.pdf,200,2075302,1.98,2026-06-03T20:09:13.614792Z
Atlas 2016,2016,ENG,País,Brazil,Atlas 2016 ENG – Brazil,https://www.resdal.org/ing/assets/atlas_2016_ing_12.pdf,atlas_2016_ing_12.pdf,200,3755572,3.58,2026-06-03T20:09:17.839471Z
Atlas 2016,2016,ENG,País,Chile,Atlas 2016 ENG – Chile,https://www.resdal.org/ing/assets/atlas_2016_ing_13.pdf,atlas_2016_ing_13.pdf,200,2844319,2.71,2026-06-03T20:09:21.000183Z
Atlas 2016,2016,ENG,País,Colombia,Atlas 2016 ENG – Colombia,https://www.resdal.org/ing/assets/atlas_2016_ing_14.pdf,atlas_2016_ing_14.pdf,200,1545443,1.47,2026-06-03T20:09:23.057229Z
Atlas 2016,2016,ENG,País,Cuba,Atlas 2016 ENG – Cuba,https://www.resdal.org/ing/assets/atlas_2016_ing_15.pdf,atlas_2016_ing_15.pdf,200,2056657,1.96,2026-06-03T20:09:25.514942Z
Atlas 2016,2016,ENG,País,Dominican Republic,Atlas 2016 ENG – Dominican Republic,https://www.resdal.org/ing/assets/atlas_2016_ing_16.pdf,atlas_2016_ing_16.pdf,200,1841595,1.76,2026-06-03T20:09:27.635994Z
Atlas 2016,2016,ENG,País,Ecuador,Atlas 2016 ENG – Ecuador,https://www.resdal.org/ing/assets/atlas_2016_ing_17.pdf,atlas_2016_ing_17.pdf,200,1841472,1.76,2026-06-03T20:09:30.190879Z
Atlas 2016,2016,ENG,País,El Salvador,Atlas 2016 ENG – El Salvador,https://www.resdal.org/ing/assets/atlas_2016_ing_18.pdf,atlas_2016_ing_18.pdf,200,1940506,1.85,2026-06-03T20:09:32.704321Z
Atlas 2016,2016,ENG,País,Guatemala,Atlas 2016 ENG – Guatemala,https://www.resdal.org/ing/assets/atlas_2016_ing_19.pdf,atlas_2016_ing_19.pdf,200,1966203,1.88,2026-06-03T20:09:35.521764Z
Atlas 2016,2016,ENG,País,Honduras,Atlas 2016 ENG – Honduras,https://www.resdal.org/ing/assets/atlas_2016_ing_20.pdf,atlas_2016_ing_20.pdf,200,2621932,2.5,2026-06-03T20:09:38.862729Z
Atlas 2016,2016,ENG,País,Mexico,Atlas 2016 ENG – Mexico,https://www.resdal.org/ing/assets/atlas_2016_ing_21.pdf,atlas_2016_ing_21.pdf,200,4298521,4.1,2026-06-03T20:09:43.869839Z
Atlas 2016,2016,ENG,País,Nicaragua,Atlas 2016 ENG – Nicaragua,https://www.resdal.org/ing/assets/atlas_2016_ing_22.pdf,atlas_2016_ing_22.pdf,200,1500728,1.43,2026-06-03T20:09:49.970593Z
Atlas 2016,2016,ENG,País,Paraguay,Atlas 2016 ENG – Paraguay,https://www.resdal.org/ing/assets/atlas_2016_ing_23.pdf,atlas_2016_ing_23.pdf,200,1413104,1.35,2026-06-03T20:09:54.220261Z
Atlas 2016,2016,ENG,País,Peru,Atlas 2016 ENG – Peru,https://www.resdal.org/ing/assets/atlas_2016_ing_24.pdf,atlas_2016_ing_24.pdf,200,1147805,1.09,2026-06-03T20:10:00.500318Z
Atlas 2016,2016,ENG,País,Uruguay,Atlas 2016 ENG – Uruguay,https://www.resdal.org/ing/assets/atlas_2016_ing_25.pdf,atlas_2016_ing_25.pdf,200,1709747,1.63,2026-06-03T20:10:06.640993Z
